4000000, 811.141, 0.0516228, 0.0457065, 0.0222387, 0.106709, 0.0379241 0
8000000, 1121.65, 0.0332029, 0.035774, 0.0242719, 0.0541076, 0.0370998 0
12000000, 1671.83, 0.0345152, 0.0359825, 0.0244758, 0.0448326, 0.0372618 0
16000000, 2227.16, 0.0364374, 0.0445955, 0.026375, 0.049227, 0.0391978 0
20000000, 2788.26, 0.0369591, 0.0474045, 0.0263848, 0.0530545, 0.0402458 0
24000000, 3387.61, 0.0362029, 0.0463001, 0.0263442, 0.0528553, 0.0489894 0
28000000, 3896.1, 0.0362743, 0.0529585, 0.0248897, 0.0522711, 0.0388996 0
32000000, 4452.93, 0.0388101, 0.046478, 0.028501, 0.0521493, 0.0441752 0
36000000, 5011.64, 0.0452034, 0.0456842, 0.0252741, 0.0620349, 0.0445632 0
40000000, 5566.51, 0.0361566, 0.0428745, 0.02602, 0.0449121, 0.0406585 0
44000000, 6124.03, 0.0343516, 0.0544415, 0.0293853, 0.0515739, 0.0410452 0
48000000, 6679.92, 0.0338572, 0.0502308, 0.0273766, 0.0503268, 0.0391761 0
52000000, 7243.23, 0.0434385, 0.0454119, 0.0267075, 0.0445923, 0.0417731 0
56000000, 7798.46, 0.0420521, 0.0522471, 0.0279912, 0.0538341, 0.0468308 0
60000000, 8348.67, 0.0428477, 0.0524123, 0.0268225, 0.0629713, 0.0484539 0
64000000, 8906.27, 0.0461627, 0.0494768, 0.0264373, 0.0528956, 0.0453404 0
68000000, 9460.62, 0.0472956, 0.0450086, 0.0277132, 0.0566724, 0.0415906 0
72000000, 10020, 0.038363, 0.0439641, 0.0272803, 0.0489017, 0.0419856 0
76000000, 10570.5, 0.0403343, 0.048084, 0.0279511, 0.0529546, 0.0435881 0
80000000, 11131.9, 0.0423113, 0.046138, 0.0260594, 0.0574879, 0.0428117 0
84000000, 11697.3, 0.0451388, 0.0643493, 0.0252345, 0.0543249, 0.0484718 0
88000000, 12250.8, 0.0488951, 0.0577928, 0.0283179, 0.0576689, 0.0418275 0
92000000, 12826.6, 0.0504189, 0.0605243, 0.0278601, 0.0551707, 0.0458823 0
96000000, 13367.5, 0.0430268, 0.0678379, 0.0253323, 0.0651144, 0.0493693 0
100000000, 13934.3, 0.0488187, 0.0705232, 0.0331873, 0.0555278, 0.0527879 0
